"id_combine.y","standard_diploma_prop","adv_studies_diploma_prop","other_diploma_prop","certificate_of_program_completion_prop","ged_certificate_prop","isaep_prop","attending_two_year_college_prop","attending_four_year_college_prop","other_continuing_ed_plans_prop","employment_prop","military_prop","no_plans_prop","expulsion_prop","in_school_suspension_prop","lt_suspension_prop","expulsion_prop.1","st_suspension_prop","spcl_ed_placement_prop","offenses_prop","non_disadv_ontime_prop","disadv_grad_prop","non_disadv_dropout_prop","disadv_dropout_prop","F_ontime_prop","M_ontime_prop","F_dropout_prop","M_dropout_prop","percentAPCourseEnrollees","percentAPTestTakers","percentGovernorsSchoolEnrollees","percentDualCourseEnrollees","percentTeachersNotHighlyQualified","percentTeachersWProvisionalCredentials","percentCTECompleters","percentPassedAPTest","sat_test_takers","sat_critical_reading_mean","sat_math_mean","sat_writing_mean","sat_subj_test_takers","sat_subj_total_tests_taken","psat_soph_test_takers","psat_junior_test_takers","admitRate4YearInstitution","yieldRate4YearInstitution","percentTeachersBachelors","percentTeachersGraduateDegree","div_name","sch_name","long","lat","census_urban_rural","ontime_prop","dropout_prop","F_cohort_prop","M_cohort_prop","nondisadvantaged_cohort_prop","disadvantaged_cohort_prop"
10070,0.428637952886341,0.512489741278838,0.036432490653899,0.0040138275398502,0.00365853658536585,0.0147674510557056,0.425464872540454,0.312976096289654,0.0179721262538107,0.159365533269443,0.0745355309203334,0.00968584072630507,0.00156985871271586,0.00283122539910887,0.00601478735418007,0.00145985401459854,0.120200371137189,0,0.133645955330508,0.93277388599305,0.857064090483192,0.0284573850574713,0.0931701944348344,0.912725,0.857425,0.051825,0.08525,0.00337199206357067,0.00337199206357067,0,0.202410871895302,0.37,0.11,0.13561056809029,0.524,0.22397476340694,476,461,456,0.0347003154574132,0.0883280757097792,0.0842105263157895,0.825806451612903,0.669519880108597,0.327589566288382,36.6666666666667,55,"Accomack County","Nandua High",-75.7257009,37.6789392,"Rural",0.883661648351648,0.0692874581668332,0.479901348651349,0.520098651348651,0.405613136863137,0.594386863136863
10540,0.481044913254893,0.465673485686254,0.0340833029211001,0.00604005167958656,0.00172413793103448,0.0114341085271318,0.297953732629336,0.428117184031417,0.0165735384395123,0.121804881671391,0.127671717026514,0.00787894620183021,0.00670579974980596,0.00165016501650165,0.00842697014567515,0.00171821305841924,0.187671210742933,0.00171821305841924,0.209611742167624,0.873621707001954,0.850309665896127,0.0333395025839793,0.0684863007060898,0.903575,0.81975,0.054475,0.058775,0.0209308274316926,0.00346020761245675,0,0.179219908405704,0.393333333333333,0.11,0.129350842091203,0.165333333333333,0.228682170542636,449,440,429,0.00387596899224806,0.0116279069767442,0.0731707317073171,0.956140350877193,0.669519880108597,0.327589566288382,46,42,"Accomack County","Arcadia High",-75.5499049,37.9252989,"Rural",0.85881547103681,0.0568694147431723,0.474511774062704,0.525488225937296,0.318229168047514,0.681770831952486
10580,0.451696364061371,0.541636969271962,0.00666666666666667,0,0,0,0.347250945641549,0.474450412257215,0.038498023715415,0.0494734157847762,0.085979376514089,0.00434782608695652,0.00342465753424658,0,0.00344827586206897,0,0.0418036124980168,0,0.0486765458943324,0.937138304093567,0.767775783475783,0.0453020467836257,0.213705698005698,0.87105,0.863925,0.099525,0.11685,0.0846062903298588,0.0827015284250969,0,0.0904768351092975,0.04,0.12,0.188427675388553,0.366666666666667,0.290697674418605,488,459,452,0.0348837209302326,0.104651162790698,0.0869565217391304,0.925,0.669519880108597,0.327589566288382,50,41,"Accomack County","Chincoteague High",-75.3640768,37.9435111,"Rural",0.870273926868045,0.106593978537361,0.450914149443561,0.549085850556439,0.620720720720721,0.379279279279279
20140,0.24754647519806,0.708180815269737,0.0327808118108514,0.000760456273764259,0.00152091254752852,0.00921052890005915,0.173681436972656,0.660210674325204,0.0612420203198746,0.0746527010043073,0.0129890902963918,0.0172240770815664,0,0.000928505106778087,0,0.00186047155598592,0.0270146346697263,0,0.0326237757867488,0.974188860693848,0.901993544973545,0.0118734618006524,0.0339536507936508,0.976125,0.9568,0.009575,0.018725,0.426202748244657,0.352473180349849,0,0.123623825516811,0.00666666666666667,0.04,0.0629248391254877,0.848666666666667,0.412098298676749,591,584,571,0.155009451795841,0.410207939508507,0.962962962962963,0.934156378600823,0.674203063766973,0.344749660689549,35,59.6666666666667,"Albemarle County","Western Albemarle High",-78.7072274,38.047229,"Rural",0.966334719962268,0.0144608398568668,0.484774676785335,0.515225323214665,0.894266282631196,0.105733717368804
20880,0.22006056302893,0.709708977821294,0.0526115361544927,0.00956631554621463,0.000975707950717276,0.00707689949835057,0.227750149819801,0.593445928695713,0.0499348471769234,0.107906507017594,0.0166897673866607,0.00427279990330692,0,0.00210378948347477,0.00154569895051285,0.00412610337803937,0.0465200532268094,0,0.0580210733537288,0.957313194571126,0.861303802790108,0.0224053976805336,0.0610411718452758,0.95325,0.9223,0.020975,0.0394,0.271799597517953,0.20470134018809,0,0.152386246271701,0.336666666666667,0.045,0.0486753657430456,0.820666666666667,0.335112059765208,564,567,536,0.0939167556029883,0.221985058697972,0.878676470588235,0.9,0.674203063766973,0.344749660689549,28,68.3333333333333,"Albemarle County","Albemarle High",-78.5002245,38.0749759,"Rural",0.937809489298876,0.0301035738111236,0.49938288904938,0.50061711095062,0.800941339084994,0.199058660915006
21052,0.27986541020587,0.658732456399558,0.0408978806683534,0.00581681698267281,0.00613809704116406,0.00854933870238169,0.219398915902973,0.560813966907441,0.0429465088781667,0.142431923657206,0.0182243594446275,0.0161843252095853,0,0.000876424189307625,0.00177707494411131,0.00725993572027311,0.0744577864949821,0.000905797101449275,0.0929640263531067,0.93603465211826,0.896750456986004,0.0367713911825967,0.0787510859073359,0.94245,0.9121,0.035225,0.056575,0.111497248769186,0.085722560092673,0,0.147127372564363,0.36,0.04,0.0782230753953929,0.598,0.313075506445672,530,543,516,0.101289134438306,0.224677716390424,0.842293906810036,0.81294964028777,0.674203063766973,0.344749660689549,33,57.6666666666667,"Albemarle County","Monticello High",-78.4895468,37.9989866,"Urbanized Area",0.926472104941861,0.0468587340493235,0.462367307871735,0.537632692128265,0.743893233413535,0.256106766586465
30310,0.407484064946917,0.489105204073771,0.0676526409810491,0.0118277123990115,0.0139434876190522,0.00998688998019915,0.4973248240804,0.260336747110235,0.0279134623185362,0.180981394340051,0.0334435721507787,0,0.00117508813160987,0.00117508813160987,0.010895384251562,0.00359255818711674,0.0996167337276139,0,0.117565963540623,0.924942480932322,0.801194375585655,0.032851097528549,0.110673439230343,0.896825,0.8531,0.05315,0.076225,0.02792895643012,0,0.0268170691166249,0.0814836792147983,0.00333333333333333,0.09,0.163493458331622,0.337,0.236641221374046,485,484,443,0,0,0.123809523809524,0.223529411764706,0.656881945139489,0.355710324272967,44,54,"Alleghany County","Alleghany High",-79.9084564,37.7888953,"Rural",0.874365678888691,0.0650550872501927,0.471541362746842,0.528458637253158,0.588863310205776,0.411136689794224
40010,0.506789087623237,0.435088063120829,0.0565480461063278,0,0.0015748031496063,0,0.365083182164115,0.307330949592288,0.0776384034592325,0.159689989735773,0.0603316737940519,0.02992580125454,0,0.00529898545052453,0.00521428529457932,0.00358136790940454,0.142855022721095,0.00177304964539007,0.163984751199305,0.946458635617256,0.91170948343628,0.0403514653928447,0.06762303752808,0.97295,0.89855,0.023475,0.074375,0.154875214377383,0.151427654740438,0.0442517272028944,0.170753065103423,0.353333333333333,0.07,0.186525032548231,0.352,0.244604316546763,488,443,460,0.0107913669064748,0.0287769784172662,0.269736842105263,0.344262295081967,0.638146193985378,0.378283909714229,48.3333333333333,45.6666666666667,"Amelia County","Amelia County High",-77.9877156,37.3312411,"Rural",0.933153852443234,0.0506049429591253,0.467004605019273,0.532995394980727,0.633796639541621,0.366203360458378
50750,0.49041755394966,0.432355035365227,0.035297224740228,0.0115845738677551,0.00182362467487854,0.0285219874022511,0.345191174025471,0.321407870077751,0.0398453638810072,0.18962426895259,0.0529326607567552,0.0509986623064266,0.000718390804597701,0,0.0131418743933291,0.00377160440554685,0.156081551492937,0,0.176724569228193,0.894952136680112,0.854836755931964,0.0504862014845889,0.0461431211642726,0.8975,0.865475,0.04415,0.0527,0.142234443152389,0.0867766875806839,0.00822458788835143,0.075859359122511,0.00666666666666667,0.035,0.0734754053601503,0.554,0.189473684210526,490,478,460,0.00601503759398496,0.0135338345864662,0.48,0.225806451612903,0.618563142026387,0.469859242434288,52.3333333333333,42,"Amherst County","Amherst County High",-79.0585912,37.5701083,"Rural",0.880115421903093,0.0489517785818897,0.467437417919454,0.532562582080546,0.633772434368164,0.366227565631836
60260,0.345889086403792,0.559385638870933,0.0504780758457229,0,0.00256410256410256,0.0416830963154493,0.27981280973928,0.380451411333764,0.0492547403576815,0.226994990303814,0.0394287330316742,0.0240573152337858,0.00421214441380785,0.00698041789240689,0.00560490207397498,0.00281938675364072,0.107575426057403,0,0.13417269508364,0.886367256341551,0.830178417564209,0.0612521868867352,0.0614569278908747,0.8893,0.836625,0.050875,0.073175,0.0733213687037695,0.0544552666180604,0.00278551532033426,0.0755248546484455,0.363333333333333,0.135,0.128745645684944,0.292666666666667,0.202898550724638,468,454,432,0.0115942028985507,0.0318840579710145,0.194594594594595,0.253968253968254,0.686013382306753,0.422903290929863,43.3333333333333,46,"Appomattox County","Appomattox County High",-78.8256996,37.3447744,"Rural",0.861583048607441,0.0622446225778109,0.474362783910648,0.525637216089352,0.603910074313686,0.396089925686314
